Power_On_Lo_Word Accel Torque_Feedback Torque_Command DC_Voltage DC_Voltage Motor_Speed Flux_Weakening Motor_Voltage IQ_Command IQ_Feedback ID_Command ID_Feedback Modulation Module_Temp Motor_Temp Run_Lo Run_Hi Torque_Shudder Brake 
00 0000 0000 000A 
F99F 0005 FFF9 0000 0004 0000 0000 0000 0000 0000 FFFF 0000 FFFF 0002 011A 0565 0000 0000 0000 000A 
F9B4 0005 0003 0000 0005 0000 0000 0000 0000 0000 0004 0000 0003 FFFF 011B 0565 0000 0000 0000 000A 
F9C9 0005 0003 0000 0002 0000 0000 0000 0000 0000 0005 0000 0009 0000 011A 0565 0000 0000 0000 000A 
F9DE 0005 FFFF 0000 0002 0000 0000 0000 0000 0000 FFFE 0000 FFFF 0001 011B 0565 0000 0000 0000 000A 
F9F3 0005 FFF6 0000 0003 0000 0000 0000 0000 0000 FFFA 0000 FFFA 0001 011B 0565 0000 0000 0000 000A 
FA08 0005 0003 0000 0003 0000 0000 0000 0000 0000 0004 0000 0002 0000 011A 0565 0000 0000 0000 0009 
FA1D 0005 0003 0000 0000 0000 0000 0000 0000 0000 0000 0000 FFFD 0001 011A 0565 0000 0000 0000 000A 
FA32 0005 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 FFF7 FFFF 011A 0565 0000 0000 0000 000A 
FA47 0005 FFFF 0000 0001 0000 0000 0000 0000 0000 0004 0000 0000 0001 011B 0565 0000 0000 0000 000A 
FA5C 0005 FFF8 0000 0002 0000 0000 0000 0000 0000 FFF5 0000 FFF6 0001 011B 0565 0000 0000 0000 000A 
FA71 0005 0002 0000 0002 0000 0000 0000 0000 0000 FFFC 0000 FFFC 0000 011A 0565 0000 0000 0000 000A 
FA86 0005 FFFD 0000 0003 0000 0000 0000 0000 0000 FFFC 0000 FFFC 0000 0119 0565 0000 0000 0000 0009 
FA9B 0005 0001 0000 0004 0000 0000 0000 0000 0000 000A 0000 000A 0002 011B 0565 0000 0000 0000 000A 
FAB0 0005 0003 0000 0004 0000 0000 0000 0000 0000 0000 0000 0000 0001 011B 0565 0000 0000 0000 000A 
FAC5 0005 0006 0000 0003 0000 0000 0000 0000 0000 FFFD 0000 FFFD 0001 011A 0565 0000 0000 0000 000A 
FADA 0005 0000 0000 0000 0000 0000 0000 0000 0000 FFFF 0000 FFFE FFFF 011A 0565 0000 0000 0000 000A 
FAEF 0005 0006 0000 0003 0000 0000 0000 0000 0000 0000 0000 FFFD FFFF 011C 0565 0000 0000 0000 000A 
FB04 0005 0007 0000 0002 0000 0000 0000 0000 0000 0009 0000 000E 0001 011C 0565 0000 0000 0000 000A 
FB19 0005 0001 0000 0004 0000 0000 0000 0000 0000 0005 0000 0003 0001 011A 0565 0000 0000 0000 000A 
FB2E 0005 0007 0000 0007 0000 0000 0000 0000 0000 0009 0000 0011 0000 011C 0565 0000 0000 0000 000A 
FB43 0005 0007 0000 0006 0000 0000 0000 0000 0000 FFFB 0000 FFFA FFFF 0119 0565 0000 0000 0000 000A 
FB58 0005 FFFC 0000 0004 0000 0000 0000 0000 0000 0003 0000 0002 FFFF 011B 0565 0000 0000 0000 000A 
FB6D 0005 FFFB 0000 0001 0000 0000 0000 0000 0000 FFFA 0000 0008 0001 011C 0565 0000 0000 0000 000A 
FB82 0005 FFFA 0000 0003 0000 0000 0000 0000 0000 FFF7 0000 FFF6 0000 011A 0565 0000 0000 0000 000A 
FB97 0005 FFFD 0000 0002 0000 0000 0000 0000 0000 0002 0000 0003 0000 011B 0565 0000 0000 0000 000A 
FBAC 0005 FFFA 0000 0003 0000 0000 0000 0000 0000 FFF8 0000 FFF8 0002 011B 0565 0000 0000 0000 000A 
FBC1 0005 0004 0000 0001 0000 0000 0000 0000 0000 0002 0000 0000 FFFF 0119 0565 0000 0000 0000 0009 
FBD6 0005 0001 0000 0003 0000 0000 0000 0000 0000 0002 0000 0000 0000 011B 0565 0000 0000 0000 000A 
FBEB 0005 0003 0000 0003 0000 0000 0000 0000 0000 0005 0000 0007 0001 011B 0565 0000 0000 0000 000A 
FC00 0005 FFF1 0000 0002 0000 0000 0000 0000 0000 0005 0000 000A 0001 011A 0565 0000 0000 0000 000A 
FC15 0005 0004 0000 0003 0000 0000 0000 0000 0000 FFFE 0000 FFFB 0002 011A 0565 0000 0000 0000 000A 
FC2A 0005 000A 0000 0003 0000 0000 0000 0000 0000 000D 0000 000B FFFF 011A 0565 0000 0000 0000 000A 
FC3F 0005 FFFB 0000 0004 0000 0000 0000 0000 0000 FFFF 0000 FFFA 0000 011B 0565 0000 0000 0000 000A 
